                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1917,                 3.6957,                 2.1812,                0.00362,                0.38636,                0.12733,                0.03543,                 2.2564,                 3.7911,                 2.0093,             0.00010002,             0.00010002,             0.00010002
                      2,                  2.237,                  3.261,                 2.0408,                0.00609,                0.78896,                0.16361,                0.05964,                 2.3004,                 3.7605,                 1.9541,             0.00021564,             0.00021564,             0.00021564
                      3,                 2.1882,                 2.8916,                 1.8626,                0.00458,                0.49351,                0.24851,                0.06471,                 2.3557,                 3.5736,                 1.8745,              0.0003301,              0.0003301,              0.0003301
                      4,                 2.0171,                 2.5791,                 1.8279,                 0.0041,                0.44805,                0.20622,                0.04777,                 2.3601,                 3.5161,                 1.9281,             0.00044341,             0.00044341,             0.00044341
                      5,                  2.061,                 2.4677,                 1.8344,                 0.0035,                0.44156,                0.10779,                0.02838,                 2.3375,                  3.492,                 2.1151,             0.00055556,             0.00055556,             0.00055556
                      6,                 2.0121,                 2.5012,                 1.8764,                0.68949,                0.04545,                0.11835,                0.02701,                 2.3628,                 3.4041,                 2.2437,             0.00066655,             0.00066655,             0.00066655
                      7,                 2.0551,                 2.3259,                 1.8425,                0.58187,                0.02273,                0.08358,                0.02528,                 2.4718,                 3.5439,                 2.5267,              0.0007764,              0.0007764,              0.0007764
                      8,                 2.1119,                 2.3565,                 1.8722,                0.79319,                0.06509,                0.13594,                0.04634,                 2.3624,                 3.4275,                 2.3742,             0.00088508,             0.00088508,             0.00088508
                      9,                 1.9376,                 2.3906,                 1.8294,                0.60381,                0.07164,                0.07302,                0.01693,                 2.2971,                 3.4883,                 2.3938,             0.00099261,             0.00099261,             0.00099261
                     10,                 2.0281,                 2.3245,                 1.8682,                0.08746,                0.13636,                0.12825,                0.04479,                 2.3834,                 3.1128,                 2.2874,               0.001099,               0.001099,               0.001099
                     11,                 2.0428,                 2.3575,                 1.8615,                0.10616,                0.12662,                0.07786,                0.01677,                 2.5857,                 3.4743,                 2.6633,              0.0012042,              0.0012042,              0.0012042
                     12,                 2.0893,                 2.3256,                 1.7974,                0.29667,                0.23377,                0.16599,                0.05208,                 2.6022,                 3.4038,                 2.5132,              0.0013083,              0.0013083,              0.0013083
                     13,                 1.9975,                 2.2534,                 1.7806,                0.41135,                0.36364,                0.28841,                0.09249,                 2.4343,                 3.0085,                 2.2477,              0.0014112,              0.0014112,              0.0014112
                     14,                 1.9876,                 2.2176,                 1.8096,                0.25461,                0.40909,                0.19002,                0.04855,                  2.538,                 3.0382,                 2.5005,              0.0015129,              0.0015129,              0.0015129
                     15,                 1.9376,                 2.0717,                 1.7367,                 0.3177,                0.32074,                0.19069,                0.04491,                 2.7199,                 3.6083,                  2.736,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.9355,                  2.064,                 1.7315,                0.87078,                0.14286,                0.24665,                0.07197,                 2.7515,                 4.3127,                 2.6745,              0.0015515,              0.0015515,              0.0015515
                     17,                 1.9323,                 2.0785,                 1.7457,                0.68195,                0.21429,                0.19473,                 0.0506,                 2.7223,                 4.9394,                  2.388,              0.0015432,              0.0015432,              0.0015432
                     18,                 1.9473,                 2.1322,                 1.7587,                0.78076,                0.17857,                0.24177,                0.06453,                 2.7133,                 3.9918,                 2.3655,               0.001535,               0.001535,               0.001535
                     19,                 2.0253,                 2.1261,                 1.8174,                0.29525,                0.37662,                0.29085,                0.07792,                 2.8645,                 4.1409,                 2.6056,              0.0015267,              0.0015267,              0.0015267
                     20,                 2.0278,                 2.0486,                 1.8004,                 0.4527,                0.37662,                0.30062,                0.06893,                 2.6757,                 3.3778,                 2.3695,              0.0015185,              0.0015185,              0.0015185
                     21,                 1.8262,                 1.8767,                 1.6592,                0.42177,                0.39935,                0.34255,                 0.0987,                 2.7492,                 2.9463,                 2.4546,              0.0015102,              0.0015102,              0.0015102
                     22,                 1.8907,                 1.9802,                 1.7052,                0.49032,                0.49026,                0.48558,                0.14486,                 2.7247,                 3.0187,                 2.4187,               0.001502,               0.001502,               0.001502
                     23,                 1.8506,                  1.912,                 1.7008,                 0.4529,                0.43182,                0.33003,                0.07859,                 2.6394,                 3.9717,                 2.5741,              0.0014937,              0.0014937,              0.0014937
                     24,                 1.9374,                 1.8745,                 1.7391,                0.37616,                0.42981,                0.28594,                0.08116,                 2.4796,                 3.1979,                 2.4122,              0.0014855,              0.0014855,              0.0014855
                     25,                 1.8379,                   1.75,                 1.6629,                0.39843,                0.53761,                0.36765,                0.10281,                 2.4423,                  2.914,                 2.3532,              0.0014772,              0.0014772,              0.0014772
                     26,                 1.8636,                 1.7524,                 1.6233,                0.31579,                0.57143,                0.32865,                0.10454,                 2.5499,                 2.8901,                 2.4339,               0.001469,               0.001469,               0.001469
                     27,                 1.9111,                 1.8345,                 1.7105,                 0.3091,                0.44156,                0.28975,                0.08122,                 2.7165,                 2.6677,                 2.5945,              0.0014607,              0.0014607,              0.0014607
                     28,                 1.8423,                 1.7958,                 1.6941,                0.27811,                0.39935,                0.22067,                0.07741,                 2.5051,                 2.7675,                  2.362,              0.0014525,              0.0014525,              0.0014525
                     29,                 1.8156,                 1.7191,                 1.6092,                0.39867,                0.37662,                0.30229,                0.08033,                 2.5655,                 2.7285,                 2.3493,              0.0014442,              0.0014442,              0.0014442
                     30,                 1.7667,                  1.792,                 1.6006,                0.44375,                0.41982,                 0.3247,                0.09952,                  2.486,                 2.6998,                    2.2,               0.001436,               0.001436,               0.001436
                     31,                 1.8147,                 1.7182,                 1.6014,                0.47993,                0.44481,                0.45839,                0.13938,                 2.5179,                 2.8255,                  2.205,              0.0014277,              0.0014277,              0.0014277
                     32,                 1.7463,                 1.6801,                  1.631,                0.50834,                0.31818,                0.28993,                0.08415,                 2.7005,                 2.6568,                 2.3641,              0.0014195,              0.0014195,              0.0014195
                     33,                  1.728,                 1.8014,                 1.6422,                0.40861,                0.43182,                0.37989,                0.10274,                 2.6168,                 2.4293,                 2.3349,              0.0014112,              0.0014112,              0.0014112
                     34,                 1.6765,                  1.629,                 1.5925,                0.39719,                0.43506,                 0.4226,                0.11481,                  2.643,                 2.6072,                 2.3522,              0.0014029,              0.0014029,              0.0014029
                     35,                 1.7453,                 1.5574,                 1.6074,                0.43217,                0.54871,                 0.4309,                0.10551,                 2.6497,                 2.4129,                 2.4916,              0.0013947,              0.0013947,              0.0013947
                     36,                 1.7196,                 1.5137,                 1.5934,                0.46787,                0.37338,                0.32799,                0.09231,                 2.6143,                 2.8494,                 2.4484,              0.0013864,              0.0013864,              0.0013864
                     37,                 1.6827,                  1.551,                 1.5822,                0.42633,                0.31494,                 0.2563,                0.07206,                   2.56,                 2.7397,                 2.3763,              0.0013782,              0.0013782,              0.0013782
                     38,                 1.6718,                 1.5265,                 1.5461,                0.48211,                0.43182,                0.36927,                0.09313,                 2.6686,                 2.2694,                 2.4027,              0.0013699,              0.0013699,              0.0013699
                     39,                 1.7408,                 1.5977,                 1.5796,                0.52214,                 0.5487,                0.45426,                0.11203,                 2.5228,                 2.4978,                 2.3632,              0.0013617,              0.0013617,              0.0013617
                     40,                 1.6589,                 1.4438,                 1.4961,                0.48398,                0.43506,                0.38482,                 0.1366,                  2.476,                 2.5934,                 2.2248,              0.0013534,              0.0013534,              0.0013534
                     41,                   1.56,                 1.3998,                 1.4875,                0.45238,                0.48475,                0.41297,                0.14583,                 2.4563,                 2.3874,                 2.2009,              0.0013452,              0.0013452,              0.0013452
                     42,                 1.6317,                 1.4591,                 1.5039,                0.34932,                0.36364,                0.33087,                0.13812,                    2.5,                 2.4324,                  2.138,              0.0013369,              0.0013369,              0.0013369
                     43,                 1.7622,                 1.5689,                 1.6171,                0.50467,                0.42208,                0.43863,                0.14842,                 2.4868,                  2.033,                 2.2598,              0.0013287,              0.0013287,              0.0013287
                     44,                 1.6435,                 1.4139,                 1.4969,                 0.7536,                0.52922,                 0.6224,                0.17537,                 2.6212,                 2.0431,                 2.3055,              0.0013204,              0.0013204,              0.0013204
                     45,                 1.7195,                 1.4631,                 1.5823,                0.53421,                0.71345,                0.62183,                 0.1888,                 2.5872,                   1.99,                  2.291,              0.0013122,              0.0013122,              0.0013122
                     46,                 1.5339,                 1.3495,                 1.4561,                 0.6359,                0.56169,                0.52754,                0.15254,                 2.5192,                 2.0595,                 2.2993,              0.0013039,              0.0013039,              0.0013039
                     47,                 1.5939,                 1.3427,                 1.4508,                0.54753,                0.64284,                0.56622,                0.18305,                 2.5613,                 1.7494,                 2.3227,              0.0012957,              0.0012957,              0.0012957
                     48,                 1.4628,                 1.2983,                 1.4414,                 0.5903,                0.52597,                0.53796,                0.17659,                 2.4992,                 1.7489,                 2.2515,              0.0012874,              0.0012874,              0.0012874
                     49,                 1.4828,                 1.3262,                 1.4821,                0.54074,                0.58627,                0.55493,                0.18296,                  2.411,                 1.9429,                 2.1891,              0.0012792,              0.0012792,              0.0012792
                     50,                 1.4443,                 1.2717,                 1.4076,                0.51837,                0.67928,                0.54611,                0.17763,                 2.4391,                  1.901,                 2.2559,              0.0012709,              0.0012709,              0.0012709
                     51,                 1.4852,                  1.197,                 1.4304,                0.53501,                0.52597,                0.51306,                0.15902,                 2.4296,                  1.788,                 2.2342,              0.0012627,              0.0012627,              0.0012627
                     52,                 1.4543,                 1.2849,                 1.4291,                0.56128,                0.63961,                0.50192,                0.14498,                 2.4633,                 1.9625,                 2.1932,              0.0012544,              0.0012544,              0.0012544
                     53,                 1.5111,                 1.2698,                 1.4026,                0.47639,                 0.5487,                0.45397,                 0.1245,                  2.491,                  1.959,                 2.2428,              0.0012462,              0.0012462,              0.0012462
                     54,                 1.5823,                  1.278,                 1.4605,                0.55243,                0.58075,                0.38988,                0.10341,                 2.5581,                 2.0001,                 2.4542,              0.0012379,              0.0012379,              0.0012379
                     55,                 1.5332,                 1.2719,                 1.4206,                0.50499,                0.58005,                0.42171,                0.11319,                 2.6258,                  2.127,                 2.4634,              0.0012297,              0.0012297,              0.0012297
                     56,                 1.4034,                 1.1377,                  1.389,                0.42666,                0.53571,                0.39545,                0.12279,                 2.5988,                 1.8979,                 2.4194,              0.0012214,              0.0012214,              0.0012214
                     57,                 1.3969,                 1.1499,                 1.3915,                0.46749,                0.47727,                0.42443,                0.11404,                 2.5702,                 2.1307,                 2.4191,              0.0012132,              0.0012132,              0.0012132
                     58,                 1.4739,                 1.2636,                  1.385,                0.39622,                 0.4513,                0.33019,                0.09958,                 2.6464,                 2.1533,                 2.4395,              0.0012049,              0.0012049,              0.0012049
                     59,                 1.3053,                 1.1003,                 1.2973,                  0.455,                0.51686,                0.42546,                0.11105,                 2.6673,                  2.011,                 2.4536,              0.0011967,              0.0011967,              0.0011967
                     60,                  1.435,                 1.1404,                 1.3963,                0.51895,                0.55844,                0.45321,                0.11189,                 2.7034,                 2.0222,                 2.6158,              0.0011884,              0.0011884,              0.0011884
                     61,                  1.319,                 1.0503,                 1.3249,                0.48813,                0.51299,                0.41164,                 0.1146,                 2.6734,                 1.9855,                 2.5468,              0.0011802,              0.0011802,              0.0011802
                     62,                 1.4053,                 1.1313,                 1.3721,                0.42521,                 0.6526,                 0.4982,                0.13744,                 2.7117,                 1.8198,                 2.5847,              0.0011719,              0.0011719,              0.0011719
                     63,                 1.3534,                 1.1268,                 1.3649,                0.44858,                0.53571,                0.44212,                0.12248,                 2.8042,                 1.8199,                 2.7962,              0.0011636,              0.0011636,              0.0011636
                     64,                 1.3715,                  1.111,                 1.3428,                0.51256,                0.51299,                 0.4083,                0.11491,                 2.7626,                 2.0596,                  2.755,              0.0011554,              0.0011554,              0.0011554
                     65,                  1.314,                 1.1125,                  1.317,                0.43699,                0.54374,                0.39052,                0.11564,                 2.6839,                 2.0252,                 2.6866,              0.0011471,              0.0011471,              0.0011471
                     66,                 1.3831,                 1.1617,                  1.389,                0.47659,                 0.5487,                0.40666,                0.13289,                 2.5787,                 2.0465,                 2.4913,              0.0011389,              0.0011389,              0.0011389
                     67,                 1.3843,                 1.1457,                 1.3644,                0.41009,                0.45589,                0.33162,                0.09742,                 2.6418,                 2.3203,                 2.5431,              0.0011306,              0.0011306,              0.0011306
                     68,                 1.3324,                 1.0754,                 1.3557,                0.40847,                0.37849,                0.30805,                0.08565,                 2.6108,                 2.6386,                 2.5418,              0.0011224,              0.0011224,              0.0011224
                     69,                 1.3638,                  1.106,                 1.3421,                0.41264,                0.39935,                0.32472,                0.10338,                 2.5818,                 2.5725,                 2.5334,              0.0011141,              0.0011141,              0.0011141
                     70,                 1.2397,                 1.0087,                 1.2479,                0.55768,                0.60714,                0.46482,                0.15224,                 2.4417,                 2.1019,                 2.2763,              0.0011059,              0.0011059,              0.0011059
                     71,                 1.2809,                 1.0384,                 1.2946,                0.53326,                0.56169,                0.48093,                0.11567,                 2.5682,                 2.2106,                 2.3478,              0.0010976,              0.0010976,              0.0010976
                     72,                    1.3,                 1.0532,                 1.2612,                 0.6006,                0.52316,                0.38588,                0.08372,                 2.7014,                 2.3051,                 2.5474,              0.0010894,              0.0010894,              0.0010894
                     73,                 1.3899,                 1.1398,                 1.3346,                0.66189,                0.50017,                0.38532,                0.07618,                 2.7706,                 2.2582,                 2.6024,              0.0010811,              0.0010811,              0.0010811
                     74,                 1.3294,                 1.0104,                 1.3012,                0.54275,                 0.5487,                0.36399,                0.09728,                 2.6832,                 1.9469,                 2.6079,              0.0010729,              0.0010729,              0.0010729
                     75,                 1.3963,                 1.0185,                 1.3251,                0.53089,                0.56169,                0.42236,                0.11015,                 2.6984,                 1.8627,                 2.5968,              0.0010646,              0.0010646,              0.0010646
                     76,                 1.2845,                 1.0036,                 1.2982,                0.53264,                0.54601,                0.41305,                0.10029,                 2.7635,                 1.7487,                 2.7425,              0.0010564,              0.0010564,              0.0010564
                     77,                 1.3203,                 1.0386,                 1.3155,                0.46208,                 0.5487,                 0.3843,                0.09503,                 2.7615,                 1.8143,                 2.7285,              0.0010481,              0.0010481,              0.0010481
                     78,                  1.272,                 1.0007,                 1.2881,                0.53556,                0.56169,                 0.4338,                0.12455,                 2.5659,                 1.9116,                 2.5105,              0.0010399,              0.0010399,              0.0010399
                     79,                 1.2098,                0.95494,                 1.2763,                0.47256,                0.57143,                0.46067,                0.13205,                  2.578,                 2.0066,                 2.5545,              0.0010316,              0.0010316,              0.0010316
                     80,                 1.2502,                0.99749,                 1.2598,                0.53796,                0.66365,                0.51544,                0.12687,                 2.7915,                 1.8753,                 2.7481,              0.0010234,              0.0010234,              0.0010234
                     81,                 1.1293,                0.89587,                 1.2131,                0.48724,                 0.6039,                0.44159,                 0.1349,                 2.7516,                 1.7111,                 2.7091,              0.0010151,              0.0010151,              0.0010151
                     82,                  1.202,                0.89411,                  1.229,                0.56735,                0.51015,                0.46375,                0.16289,                 2.7233,                 1.6361,                 2.5258,              0.0010069,              0.0010069,              0.0010069
                     83,                 1.2658,                0.99533,                 1.2848,                0.61995,                0.52597,                0.48546,                0.17015,                 2.6184,                 1.6959,                 2.3783,             0.00099862,             0.00099862,             0.00099862
                     84,                 1.1856,                0.93887,                 1.2427,                 0.5721,                0.50325,                0.48406,                0.13167,                  2.693,                 1.9683,                 2.4235,             0.00099036,             0.00099036,             0.00099036
                     85,                 1.2683,                 0.9429,                 1.2292,                0.53842,                0.48052,                0.44068,                 0.1338,                 2.7006,                 2.0905,                 2.5047,             0.00098211,             0.00098211,             0.00098211
                     86,                 1.1912,                0.94751,                 1.2555,                0.65101,                0.52597,                0.48555,                0.13345,                 2.7613,                 1.9966,                 2.5998,             0.00097386,             0.00097386,             0.00097386
                     87,                 1.2212,                0.89138,                 1.2444,                0.52934,                0.61688,                0.47132,                0.15447,                 2.6671,                  1.772,                 2.4724,             0.00096561,             0.00096561,             0.00096561
                     88,                 1.2305,                0.97847,                   1.31,                0.53484,                 0.6526,                0.50741,                0.15271,                 2.6497,                 1.7388,                 2.3704,             0.00095736,             0.00095736,             0.00095736
                     89,                 1.2678,                0.93819,                  1.226,                0.63258,                0.60714,                0.48292,                0.14232,                 2.6437,                 1.8208,                 2.4447,             0.00094911,             0.00094911,             0.00094911
                     90,                 1.2652,                0.95216,                 1.2138,                0.60358,                0.45455,                0.41626,                0.12182,                 2.7444,                 2.1164,                 2.6195,             0.00094085,             0.00094085,             0.00094085
                     91,                 1.1617,                0.87661,                 1.1929,                0.69238,                0.57771,                0.53144,                0.15651,                 2.6486,                 1.9884,                 2.5232,              0.0009326,              0.0009326,              0.0009326
                     92,                 1.1754,                0.84626,                 1.1999,                0.65841,                0.63501,                0.51466,                0.14925,                 2.5694,                 1.6872,                 2.3533,             0.00092435,             0.00092435,             0.00092435
                     93,                 1.2505,                0.93829,                 1.2737,                0.66302,                0.67532,                0.54806,                0.15554,                 2.5988,                 1.6409,                 2.3932,              0.0009161,              0.0009161,              0.0009161
                     94,                 1.2386,                0.99019,                 1.2536,                0.62234,                 0.5838,                 0.4731,                0.12784,                 2.7424,                 1.6212,                 2.6084,             0.00090785,             0.00090785,             0.00090785
                     95,                 1.1296,                0.88885,                 1.2664,                0.59318,                0.61016,                 0.4931,                0.11684,                  2.892,                 1.6586,                 2.7513,              0.0008996,              0.0008996,              0.0008996
